"repeat.var.value","perc_total_female","perc_total_male","perc_total_female_60","perc_total_male_60","perc_total_female_18_59","perc_total_male_18_59","perc_total_female_6_17","perc_total_male_6_17","perc_total_females_05","perc_total_males_05","female_hh__NA__female_hh","total_hh__NA__NA","msni_2_cat__NA__in_need","big_bar_msni__NA__1","big_bar_msni__NA__2","big_bar_msni__NA__3","big_bar_msni__NA__4","msni__NA__1","msni__NA__2","msni__NA__3","msni__NA__4","msni_2_cat__population_group__IDP__in_need","msni_2_cat__population_group__not_displaced__in_need","wash_score_2_cat__NA__in_need","big_bar_wash_score__NA__1","big_bar_wash_score__NA__2","big_bar_wash_score__NA__3","big_bar_wash_score__NA__4","wash_score__NA__1","wash_score__NA__2","wash_score__NA__3","wash_score__NA__4","wash_score_2_cat__population_group__not_displaced__in_need","wash_score_2_cat__population_group__IDP__in_need","health_score_2_cat__NA__in_need","big_bar_health_score__NA__1","big_bar_health_score__NA__2","big_bar_health_score__NA__3","big_bar_health_score__NA__4","health_score__NA__1","health_score__NA__2","health_score__NA__3","health_score__NA__4","health_score_2_cat__population_group__not_displaced__in_need","health_score_2_cat__population_group__IDP__in_need","snfi_score_2_cat__NA__in_need","big_bar_snfi_score__NA__1","big_bar_snfi_score__NA__2","big_bar_snfi_score__NA__3","big_bar_snfi_score__NA__4","snfi_score__NA__1","snfi_score__NA__2","snfi_score__NA__3","snfi_score__NA__4","snfi_score_2_cat__population_group__IDP__in_need","snfi_score_2_cat__population_group__not_displaced__in_need","edu_score_2_cat__NA__in_need","big_bar_edu_score__NA__1","big_bar_edu_score__NA__2","big_bar_edu_score__NA__3","big_bar_edu_score__NA__4","edu_score__NA__1","edu_score__NA__2","edu_score__NA__3","edu_score__NA__4","edu_score_2_cat__population_group__IDP__in_need","edu_score_2_cat__population_group__not_displaced__in_need","prot_score_2_cat__NA__in_need","big_bar_prot_score__NA__1","big_bar_prot_score__NA__2","big_bar_prot_score__NA__3","prot_score__NA__1","prot_score__NA__2","prot_score__NA__3","prot_score_2_cat__population_group__not_displaced__in_need","prot_score_2_cat__population_group__IDP__in_need","mcsi_score_2_cat__NA__in_need","big_bar_mcsi_score__NA__1","big_bar_mcsi_score__NA__2","big_bar_mcsi_score__NA__3","big_bar_mcsi_score__NA__4","mcsi_score__NA__1","mcsi_score__NA__2","mcsi_score__NA__3","mcsi_score__NA__4","mcsi_score_2_cat__population_group__IDP__in_need","mcsi_score_2_cat__population_group__not_displaced__in_need","pev_score_2_cat__NA__in_need","big_bar_pev_score__NA__1","big_bar_pev_score__NA__2","big_bar_pev_score__NA__3","pev_score__NA__1","pev_score__NA__2","pev_score__NA__3","pev_score_2_cat__population_group__IDP__in_need","pev_score_2_cat__population_group__not_displaced__in_need","impact_score_2_cat__NA__in_need","big_bar_impact_score__NA__1","big_bar_impact_score__NA__2","big_bar_impact_score__NA__3","impact_score__NA__1","impact_score__NA__2","impact_score__NA__3","impact_score_2_cat__population_group__IDP__in_need","impact_score_2_cat__population_group__not_displaced__in_need","at_least_lsg_above_sev_3__NA__TRUE","lsg_or_cg__NA__TRUE","lsg_cg__NA__one_lsg_no_cg","lsg_cg__NA__one_lsg_one_cg","lsg_cg__NA__no_lsg_one_cg"
"awdal",49.0157776859431,50.9842223140569,0.937030472953894,1.22737465032061,18.1598281613648,17.8368084243787,18.4369497424123,20.6502664444677,11.481969309212,11.26977279489,82.2758479565182,6.13666603623683,9.30950665342094,109.744220878974,797.160712586816,93.0950665342094,0,10.9744220878974,79.7160712586816,9.30950665342094,0,5.66993298069645,9.35007463959485,1.98078118012383,368.209379413865,611.982808784896,19.8078118012383,0,36.8209379413865,61.1982808784896,1.98078118012383,0,2.00285967358338,0,1.02551240704537,925.47141047478,64.2734654547664,10.2551240704537,0,92.547141047478,6.42734654547664,1.02551240704537,0,1.03694313407309,0,24.4115478349586,122.616103918848,633.268417731566,244.115478349586,0,12.2616103918848,63.3268417731566,24.4115478349586,0,54.4112342848812,24.0771606306983,1.83737930210279,593.030877373951,388.595329605021,18.3737930210279,0,59.3030877373951,38.8595329605021,1.83737930210279,0,2.21515570261527,1.83316847161248,0,331.983754541965,668.016245458035,0,33.1983754541965,66.8016245458035,0,0,0,4.3184037418186,735.697271984781,221.118690597033,43.1840374181861,0,73.5697271984781,22.1118690597033,4.3184037418186,0,4.64271259760308,4.31478887965051,15.9047165019394,85.4884973341785,755.464337646428,159.047165019394,8.54884973341785,75.5464337646428,15.9047165019394,63.2032701622237,15.3775099542835,0,992.457965402013,7.54203459798689,0,99.2457965402013,0.754203459798689,0,0,0,46.076024419844,46.9206725646854,42.6022688228668,3.47375559697723,0.844648144841379
"bakool",47.4010984569352,52.5989015430648,1.69017277029475,2.34539033658641,16.9987530773868,17.2396353585657,16.9437057437649,18.7609469887356,11.7684668654887,14.252928859177,40.7709222182116,6.09612589313731,42.8731868682908,0,571.268131317092,428.731868682908,0,0,57.1268131317092,42.8731868682908,0,58.1876253273717,41.7303996094127,29.2321398710626,9.58233793323106,698.096263356143,292.321398710626,0,0.958233793323105,69.8096263356143,29.2321398710626,0,29.667541666432,23.3973408318221,3.55149367675888,497.779771824336,466.705291408075,35.5149367675888,0,49.7779771824336,46.6705291408075,3.55149367675888,0,3.5115627495442,4.08660615958761,22.0807752631324,134.369524495031,644.822722873644,213.873030442284,6.93472218904046,13.4369524495031,64.4822722873644,21.3873030442284,0.693472218904046,62.510843783673,19.0638205570038,3.18944710610806,567.232566781338,400.872962157582,31.8944710610806,0,56.7232566781338,40.0872962157582,3.18944710610806,0,8.68622733711053,2.77926880086841,0,284.170249421498,715.829750578502,0,28.4170249421498,71.5829750578502,0,0,0,13.8059205883603,184.056836377757,677.88395773864,138.059205883603,0,18.4056836377757,67.788395773864,13.8059205883603,0,24.6220902204261,12.9988011579995,28.8388966961955,20.8041665671214,690.806866470923,288.388966961955,2.08041665671214,69.0806866470923,28.8388966961955,76.0639028453783,25.3148931571872,0.00900260370484259,874.33738594836,125.572588014592,0.0900260370484259,87.433738594836,12.5572588014592,0.00900260370484259,0.129646073728,0,60.2007985992577,61.8392290874971,48.0333084991367,12.1674901001209,1.6384304882394
"banadir",49.0343662671215,50.9656337328785,2.12350851785185,2.41231557832636,14.8070488965853,14.2658312274218,21.6261785989954,23.4261523024972,10.477630253689,10.8613346246332,64.6139335981232,7.55143230632287,12.4001422228612,95.2361829901907,780.762394781197,120.785354956059,3.21606727255338,9.52361829901907,78.0762394781197,12.0785354956059,0.321606727255338,18.6901746385307,9.10839694277229,5.95289322594008,367.875750586809,572.59531715379,59.5289322594007,0,36.7875750586809,57.259531715379,5.95289322594008,0,5.64652897539849,6.53830944224489,0.759895110883969,722.571853952683,269.829194938477,7.59895110883969,0,72.2571853952683,26.9829194938477,0.759895110883969,0,0.645902896813285,0.977717165942608,23.7406505893116,205.136725311716,557.456768795167,233.789082251838,3.61742364127869,20.5136725311716,55.7456768795167,23.3789082251838,0.361742364127869,42.0290285088398,14.1698443169752,2.47983555686877,507.867774557363,467.33386987395,24.7983555686877,0,50.7867774557363,46.733386987395,2.47983555686877,0,2.22896080011394,2.61112514996911,0.00848844537183955,380.928617572849,618.986497973432,0.0848844537183955,38.0928617572849,61.8986497973432,0.00848844537183955,0.0129306800284429,0,5.65526630207869,543.429760497111,400.017576482102,53.3365957482335,3.21606727255338,54.3429760497111,40.0017576482102,5.33365957482335,0.321606727255338,9.4758106111149,3.65587140781535,30.9265875576034,42.7376352772277,647.996489146739,309.265875576034,4.27376352772277,64.7996489146739,30.9265875576034,59.316228791083,16.0695150724249,2.85038327523462,344.655717168424,626.84045007923,28.5038327523462,34.4655717168424,62.684045007923,2.85038327523462,5.96493957790338,1.22045113317747,55.6449414357187,58.1049328682773,52.4496665661986,3.19527486952007,2.45999143255862
"bari",46.2531033018049,53.7468966981951,1.5536575022933,1.29274560762845,19.0005655997191,19.3589502988775,16.7572932272845,21.4723736248972,8.94158697250802,11.622827166792,66.8405662770419,6.17836339391689,7.97840439101579,92.3799916137196,827.835964476123,79.7840439101578,0,9.23799916137196,82.7835964476123,7.97840439101579,0,32.1484938248302,4.2804749751397,5.93848079544826,307.005270314715,633.609921730803,59.3848079544826,0,30.7005270314715,63.3609921730802,5.93848079544826,0,2.19650164110036,30.3964843559708,0.116240902999475,831.516767428302,167.320823541703,1.16240902999475,0,83.1516767428302,16.7320823541703,0.116240902999475,0,0,0.876004734429734,9.06506778229853,289.681244401677,619.668077775337,90.6506778229853,0,28.9681244401677,61.9668077775337,9.06506778229853,0,39.3511209434552,4.43141976944741,1.78973999461405,584.49353516719,397.609064886669,17.8973999461405,0,58.449353516719,39.7609064886669,1.78973999461405,0,0.876004734429734,1.92953792569789,0,364.778086206462,635.221913793538,0,36.4778086206462,63.5221913793538,0,0,0,1.50260499579027,715.809003885161,269.164946156937,15.0260499579027,0,71.5809003885161,26.9164946156937,1.50260499579027,0,1.75200946885947,1.46444708413094,18.8119542768018,45.9856478282486,765.894809403733,188.119542768018,4.59856478282486,76.5894809403733,18.8119542768018,54.5708146733005,13.340988101831,0.116240902999475,688.364666550714,310.472924419291,1.16240902999475,68.8364666550714,31.0472924419291,0.116240902999475,0.876004734429734,0,37.2960004056352,38.3814851732894,36.8788801774991,0.417120228136055,1.08548476765422
"bay",48.2309321961981,51.7690678038019,1.31251918188212,2.01822439458667,14.2042346617784,13.6606496842883,21.3845871281985,22.0027742284545,11.329591224339,14.0874194964724,67.4040319627578,7.62912924687914,25.7492050928002,0,742.507949071998,244.524531360315,12.9675195676868,0,74.2507949071998,24.4524531360315,1.29675195676868,42.2407997615892,21.0118661203093,16.2344328275445,210.602973100547,627.052698624009,154.190706455594,8.15362181985047,21.0602973100547,62.7052698624009,15.4190706455594,0.815362181985047,12.1721014860073,30.3761951721808,3.12429000122189,517.976347064587,450.780752923194,31.2429000122189,0,51.7976347064587,45.0780752923194,3.12429000122189,0,3.09225752630566,3.23580125165683,31.5745577060589,145.833429040707,538.420993898703,315.745577060589,0,14.5833429040707,53.8420993898703,31.5745577060589,0,62.7342076887491,22.6237056388821,4.31956764030478,482.414018174288,474.390305422664,43.1956764030478,0,48.2414018174288,47.4390305422664,4.31956764030478,0,6.8895971390701,3.5813066564841,0,292.722332377279,707.277667622721,0,29.272233237728,70.7277667622721,0,0,0,7.0632211873831,423.810857921833,505.556930204336,65.8183141259947,4.81389774783634,42.3810857921833,50.5556930204336,6.58183141259947,0.481389774783634,11.8646045894084,5.68398642148551,47.402473413964,0,525.97526586036,474.02473413964,0,52.597526586036,47.402473413964,88.1353954105916,35.701624423099,3.84498324338061,318.101553094012,643.448614472182,38.4498324338061,31.8101553094012,64.3448614472182,3.84498324338061,12.2825992251648,1.42121235716871,68.4729787908078,70.0097552119973,62.9465340246142,5.5264447661936,1.5367764211895
"galgaduud",46.8430244426967,53.1569755573034,2.12263292780111,1.71006806335641,17.1254808292428,18.923151256131,16.0981691679852,18.872881415654,11.4967415176675,13.650874822162,49.8514047046037,5.96477579877569,12.655571915241,83.2029276387457,790.241353208844,101.412640407654,25.1430787447564,8.32029276387457,79.0241353208844,10.1412640407654,2.51430787447564,24.4435251536393,11.2202389080034,1.83312072717904,293.929340271377,687.739452456833,18.3312072717904,0,29.3929340271377,68.7739452456833,1.83312072717904,0,1.21149263237172,6.93836311783929,1.00931035639916,546.407313390385,443.499583045623,10.0931035639916,0,54.6407313390385,44.3499583045623,1.00931035639916,0,0.870944224916709,2.14566929155131,16.4819348286081,236.183111763321,598.997539950598,164.409064535771,0.410283750310099,23.6183111763321,59.8997539950598,16.4409064535771,0.0410283750310099,16.0348120651293,16.5363777032726,2.39106903244141,596.571588364259,379.517721311327,23.8837518036918,0.0269385207222248,59.6571588364259,37.9517721311327,2.38837518036918,0.00269385207222248,13.6492937405258,1.0202372010278,0,454.002730988655,545.997269011345,0,45.4002730988655,54.5997269011345,0,0,0,6.49402648503091,605.917108163492,329.142626986199,39.7971861055528,25.1430787447564,60.5917108163492,32.9142626986199,3.97971861055528,2.51430787447564,10.3056067221728,6.02991818620569,28.1312586010545,203.568374964127,515.119039025328,281.312586010545,20.3568374964127,51.5119039025328,28.1312586010545,41.9806375521581,26.4449208343328,0.718594751644291,931.87183789132,60.9422145922371,7.18594751644291,93.187183789132,6.09422145922371,0.718594751644291,6.62019478942501,0,57.1743309401737,58.2601514615251,51.7661249764942,5.40820596367952,1.08582052135139
"gedo",46.1151407164189,53.8848592835811,1.47714341550596,1.84161657551392,16.4784352491078,16.849441560575,15.9300958960093,20.8321524113206,12.2294661557958,14.3616487361715,59.7784405716777,5.84928544779153,31.3217463814139,32.5807883407212,654.20174784514,311.912454960781,1.30500885335775,3.25807883407212,65.420174784514,31.1912454960781,0.130500885335775,43.0475124502708,29.9804265596008,21.7126120527114,110.633791284364,672.240088188522,217.126120527114,0,11.0633791284364,67.2240088188522,21.7126120527114,0,21.7471317629256,21.41084207947,2.95236108679652,483.79363259517,486.682756536864,27.3337076255689,2.18990324239634,48.379363259517,48.6682756536864,2.73337076255689,0.218990324239634,2.52152865885979,6.71868152932541,29.1470731508995,164.718825248019,543.810443242985,289.204083978567,2.26664753042861,16.4718825248019,54.3810443242985,28.9204083978567,0.226664753042861,34.2782611941169,28.5601124191741,5.40432160208216,546.909342767502,399.047441211677,54.0432160208216,0,54.6909342767502,39.9047441211677,5.40432160208216,0,2.0662258933143,5.78616905793166,0.466730568033028,355.861517131559,639.471177188111,4.66730568033028,35.5861517131559,63.9471177188111,0.466730568033028,0.520120253506243,0,7.1285080538386,444.173129517699,484.541789943914,69.9800716850283,1.30500885335775,44.4173129517699,48.4541789943914,6.99800716850283,0.130500885335775,19.495360026212,5.71385389934126,19.6110007222577,2.94345612056239,800.946536656861,196.110007222577,0.294345612056239,80.094653665686,19.6110007222577,77.0736364715389,13.0378035518959,0.221548467174043,829.879359714116,167.905155614144,2.21548467174043,82.9879359714116,16.7905155614144,0.221548467174043,2.15831660908159,0,58.5070845539255,61.023026332896,53.8945182790574,4.61256627486811,2.51594177897049
